,date_group,time_group,기온(°C),누적강수량(mm),풍속(m/s)
94,20일,09시,20.7,0.0,1.1166666666666667
95,20일,10시,20.616666666666664,0.0,2.793333333333334
96,20일,11시,20.69666666666666,0.0,3.663333333333334
97,20일,12시,21.01833333333333,0.0,4.258333333333334
98,20일,13시,20.619999999999994,0.0,3.811666666666666
99,20일,14시,20.776666666666653,0.0,4.454999999999999
100,20일,15시,21.259999999999994,0.0,3.595000000000001
101,20일,16시,21.22333333333335,0.0,2.9666666666666655
102,20일,17시,20.83666666666667,0.0,2.0200000000000005
103,20일,18시,19.629999999999995,0.0,1.6533333333333335
104,20일,19시,18.96333333333332,0.0,1.6266666666666667
105,20일,20시,18.668333333333344,0.0,1.9566666666666666
106,20일,21시,18.485,0.0,1.8966666666666667
107,20일,22시,18.59000000000001,0.0,1.631666666666667
108,21일,05시,17.67666666666665,0.0,2.173333333333333
109,21일,06시,18.025000000000002,0.0,2.086666666666667
110,21일,07시,19.57166666666669,0.0,4.321666666666667
111,21일,08시,20.075000000000003,0.0,4.1433333333333335
112,21일,09시,20.961666666666666,0.0,4.031666666666667
113,21일,10시,21.46833333333333,0.0,4.141666666666666
114,21일,11시,21.835,0.0,4.411666666666665
115,21일,12시,22.025,0.0,4.341666666666665
116,21일,13시,22.015,0.0,4.72
117,21일,14시,22.158333333333328,0.0,4.22
118,21일,15시,21.83,0.0,4.133333333333334
119,21일,16시,21.198333333333323,0.0,3.6633333333333344
120,21일,17시,20.686666666666678,0.0,2.536666666666667
121,21일,18시,20.143333333333338,0.0,1.8516666666666666
122,21일,19시,19.471666666666668,0.0,1.73
123,21일,20시,19.07500000000001,0.0,1.9249999999999998
124,21일,21시,18.885,0.0,1.615
125,21일,22시,19.026666666666667,0.0,1.326666666666667
126,22일,05시,18.680000000000014,0.0,1.3750000000000002
127,22일,06시,18.878333333333334,0.0,1.7916666666666667
128,22일,07시,18.776666666666653,0.0,1.2483333333333337
129,22일,08시,19.71500000000001,0.0,1.843333333333334
130,22일,09시,20.76833333333333,0.0,3.3583333333333334
131,22일,10시,20.833333333333346,0.0,3.4650000000000003
132,22일,11시,20.83166666666667,0.0,3.250000000000001
133,22일,12시,21.32500000000001,0.0,3.9099999999999993
134,22일,13시,21.471666666666657,0.0,4.238333333333333
135,22일,14시,21.7,0.0,3.5733333333333333
136,22일,15시,21.350847457627108,0.0,3.3457627118644075
137,22일,16시,21.030000000000026,0.0,3.0900000000000007
138,22일,17시,20.88833333333331,0.0,2.0633333333333335
139,22일,18시,20.786666666666672,0.010000000000000002,1.6216666666666668
140,22일,19시,20.909999999999993,0.49166666666666664,3.8416666666666663
141,22일,20시,21.19333333333334,0.5,4.320000000000001
142,22일,21시,21.106666666666666,0.5,3.058333333333332
143,22일,22시,21.05833333333334,0.5,2.813333333333334
144,23일,05시,19.766666666666648,0.0,2.4950000000000014
145,23일,06시,19.36166666666667,0.0,2.2100000000000004
146,23일,07시,19.361666666666654,0.0,2.1716666666666664
